rank,handle,pnl_usd,volume_usd,followers,num_trades,smart_score,flags,solana_wallet,evm_wallet,name
1,ether_monk,2002301.55,6226370.56,242264,1431,83,WHALE|SERIOUS,2xUbYAVq1oJGj45d6JjnaYHAke3NQecUcqWvvVbwmYw8,0x2408ce75d217e3a70d6ca370c78c1b34d706f5a0,Ethermonk 📿
5,Aurelius0121,1460661.17,7615370.35,266040,2166,82,WHALE|SERIOUS,9BMzTpSo4URse1oN666pmexhdjpU1vA5p7LtroCFQdLU,0x0c175c6a0065ee05f871a68783d2de432a1e6cbe,Aurelius
17,change,718816.47,22525561.98,329427,2046,76,WHALE|SERIOUS,,,
3,unipcs,1864011.09,1086781.03,260044,1602,75,WHALE|SERIOUS,,,
2,DumbCrayonEater,1967677.14,862377.04,259726,1596,72,WHALE|SERIOUS,,,
4,PoorGoat_,1809830.84,1404005.33,484617,1896,72,WHALE|SERIOUS,,,
19,loganlim_x,650060.32,8675174.93,107530,1106,68,SERIOUS,,,
12,theveeman,793984.06,2525701.2,119856,1526,65,SERIOUS,,,
11,Quanterty,851172.0,4829964.32,235637,813,64,WHALE|SERIOUS,,,
9,brrrgrrrz,1015576.19,2855914.67,29789,1832,63,SERIOUS,,,
14,0xleo,764849.22,22955341.49,56758,907,63,SERIOUS,,,
31,jotagezin,409299.72,10940365.8,109137,2136,63,-,,,
6,Salem1299534,1409807.36,2020450.04,41106,811,62,SERIOUS,,,
13,insentos,768454.75,6433995.2,91279,361,62,-,,,
10,0xAvast,893916.99,969824.31,248446,341,57,-,,,
